user,computadores_distintos,total_logons,total_logoffs,computador_mais_usado,hora_logon_mais_comum,hora_logoff_mais_comum,logons_fim_de_semana,logons_dias_uteis,logons_fora_horario_comercial,logons_em_horario_comercial,logons_janela_acesso,proporcao_pc_mais_usado,pcs_distintos_dispositivo,total_atividades_dispositivo,connect_fora_horario_comercial,connect_em_horario_comercial,connect_fim_de_semana,connect_dias_uteis,connect_janela_acesso,total_connect_dispositivo,total_disconnect_dispositivo,conexoes_sem_desconexao,sites_distintos_visitados,total_acessos_http,acessos_fora_horario_comercial,acessos_em_horario_comercial,acessos_fim_de_semana,acessos_janela_acesso,visita_sites_compras,visita_sites_noticias,visita_sites_entretenimento,tamanho_medio_urls,termos_sensiveis_detectados,tamanho_medio_conteudo,diferenca_acessos_fora_dentro,risco,origem
982,0,6,1,1122,2,2,0,6,0,14,0,327,1,34,0,43,0,43,0,34,28,29,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
983,0,78,86,62,2,3,0,75,0,109,0,327,0,0,0,0,0,0,0,0,0,0,178,302,0,316,0,0,3,14,66,910,0,163,462,Médio,original
984,0,91,97,300,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,91,156,0,159,0,0,3,5,44,313,0,22,621,Médio,original
985,0,91,97,951,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,145,193,0,200,0,0,2,12,29,947,0,761,580,Médio,original
986,1,227,149,740,1,3,4,211,37,225,8,311,1,40,12,40,0,51,1,40,34,32,188,237,45,221,0,4,11,10,46,43,0,748,581,Alto,original
987,1,12,5,2,1,4,0,12,0,20,0,39,1,39,0,50,0,50,0,39,29,36,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
988,0,7,1,1532,1,4,0,7,0,15,0,327,1,121,0,117,0,105,0,121,93,103,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
989,0,90,97,1309,2,5,0,86,0,123,0,327,0,0,0,0,0,0,0,0,0,0,93,123,0,128,0,0,1,8,22,812,0,19,653,Médio,original
990,0,80,88,667,1,5,0,77,0,111,0,327,0,0,0,0,0,0,0,0,0,0,468,701,0,714,0,0,22,63,267,644,0,194,67,Médio,original
991,0,91,97,339,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,204,414,0,429,0,0,4,19,154,894,0,54,357,Médio,original
992,0,0,1,939,0,2,0,0,10,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
993,0,91,97,18,3,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,106,134,11,131,0,11,4,3,24,577,0,846,657,Médio,original
994,0,0,1,986,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
995,0,196,97,351,1,5,0,173,0,215,0,327,0,0,0,0,0,0,0,0,0,0,120,159,0,164,0,0,2,2,35,195,0,908,616,Médio,original
996,0,0,0,362,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
997,0,186,97,61,2,4,0,163,0,205,0,327,0,0,0,0,0,0,0,0,0,0,241,507,0,515,0,0,11,4,201,253,0,114,269,Médio,original
998,0,0,1,593,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
999,0,91,97,249,3,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,105,101,0,106,0,0,6,1,14,58,0,82,675,Médio,original
1000,0,91,97,112,2,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,83,104,0,110,0,0,1,6,20,111,0,764,671,Médio,original
1001,1,247,169,1413,1,2,2,237,15,259,6,168,1,135,13,119,2,119,5,135,107,106,61,57,0,59,0,0,3,2,11,803,0,162,718,Alto,original
1002,0,8,1,295,2,4,0,8,0,16,0,327,1,190,0,173,0,162,0,190,154,158,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1003,1,1,2,458,1,3,0,1,0,9,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1004,0,91,97,1037,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,365,557,0,570,0,0,22,10,165,79,0,361,213,Médio,original
1005,1,230,149,1363,1,2,0,218,0,255,0,163,1,28,0,36,0,36,0,28,25,25,83,152,0,156,0,0,2,6,47,406,0,821,624,Alto,original
1006,0,0,1,1551,0,2,0,0,10,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1007,1,278,200,248,1,2,1,269,17,294,11,80,1,97,14,76,2,81,3,97,76,81,158,214,0,224,0,0,3,9,40,745,0,843,554,Alto,original
1008,0,0,1,1744,2,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1009,0,125,64,732,1,4,0,124,0,161,0,327,1,7,0,5,0,7,0,7,7,7,188,411,0,424,0,0,5,17,171,588,0,87,361,Alto,original
1010,0,0,0,1709,2,7,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1011,0,181,97,1345,2,5,0,158,0,200,0,327,0,0,0,0,0,0,0,0,0,0,39,81,0,85,0,0,0,1,31,37,0,229,693,Baixo,original
1012,0,0,0,1235,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1013,0,91,97,758,3,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,164,231,10,237,0,10,4,13,44,455,0,116,545,Médio,original
1014,1,101,60,855,2,4,0,98,0,137,0,148,1,86,0,72,0,78,0,86,67,71,328,501,0,510,0,0,14,9,128,157,1,353,274,Alto,original
1015,2,269,194,853,1,3,0,257,0,292,0,44,1,50,0,59,0,61,0,50,41,37,148,212,0,222,0,0,0,9,30,794,0,174,557,Alto,original
1016,0,91,97,1388,2,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,215,397,0,410,0,0,14,5,128,522,0,338,372,Médio,original
1017,0,0,1,375,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1018,0,0,0,93,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1019,0,0,0,1347,0,5,0,0,10,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1020,1,258,183,1609,2,3,0,249,24,264,7,145,1,103,13,87,2,87,0,103,82,88,500,733,0,740,0,0,37,72,236,249,0,513,42,Alto,original
1021,0,0,1,1273,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1022,1,3,3,303,2,5,0,3,0,11,0,33,1,188,0,168,0,159,0,188,151,155,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
1023,0,0,1,1344,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1024,0,91,97,1372,3,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,224,265,9,269,0,9,6,10,49,685,1,910,510,Alto,original
1025,0,0,0,30,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1026,1,12,3,463,1,4,0,12,1,19,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1027,0,91,97,1730,2,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,65,86,0,90,0,0,6,1,33,178,0,976,689,Médio,original
1028,0,91,97,1785,2,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,273,336,0,353,0,0,9,9,56,246,0,318,428,Médio,original
1029,0,7,1,955,2,4,0,7,0,15,0,327,1,263,0,231,0,228,0,263,212,221,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1030,0,91,97,766,1,3,0,87,0,124,0,327,1,135,0,130,0,121,0,135,102,110,164,281,0,292,0,0,1,13,72,872,0,190,483,Alto,original
1031,0,7,0,657,2,5,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1032,0,91,97,434,1,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,116,150,0,154,0,0,4,3,21,152,0,470,626,Médio,original
1033,10,98,106,869,2,4,0,95,0,134,0,290,0,0,0,0,0,0,0,0,0,0,255,489,0,498,0,0,11,7,145,437,1,609,284,Alto,original
1034,0,91,97,1734,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,193,300,0,314,0,0,3,20,93,493,0,796,464,Médio,original
1035,0,72,80,1740,2,2,0,69,0,99,0,327,0,0,0,0,0,0,0,0,0,0,180,286,0,297,0,0,10,13,78,567,0,823,479,Médio,original
1036,0,0,1,1148,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1037,1,275,192,1664,2,2,0,264,0,298,0,50,0,0,0,0,0,0,0,0,0,0,125,160,0,165,0,0,5,5,32,666,0,267,615,Médio,original
1038,0,91,97,506,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,116,130,0,136,0,0,2,8,27,99,0,274,645,Médio,original
1039,43,345,265,1511,1,2,0,282,108,309,28,11,1,204,0,185,0,180,0,204,167,169,16,17,0,21,0,0,0,1,6,76,0,544,757,Alto,original
1040,0,91,97,471,2,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,25,32,0,34,0,0,0,0,17,256,0,110,743,Baixo,original
1041,8,228,153,1729,1,4,1,215,38,228,10,243,1,218,31,182,1,194,4,218,176,180,186,264,23,261,0,0,10,6,59,12,0,906,528,Alto,original
1042,27,301,246,475,2,5,4,274,64,301,16,40,1,74,19,68,2,76,2,74,58,60,101,287,0,298,0,0,0,7,152,723,0,195,478,Alto,original
1043,1,13,5,406,2,6,0,13,3,18,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1044,0,91,97,802,2,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,216,263,19,262,0,19,8,13,51,497,0,874,523,Médio,original
1045,0,0,0,1004,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1046,0,174,97,553,2,4,0,151,0,193,0,327,0,0,0,0,0,0,0,0,0,0,51,59,0,62,0,0,1,0,22,71,0,118,715,Médio,original
1047,0,91,97,1272,1,2,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,24,27,0,29,0,0,2,0,12,695,0,975,748,Médio,original
1048,0,0,1,1422,2,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1049,13,293,203,1745,1,5,28,232,1,267,0,142,1,330,0,283,90,264,0,330,269,281,487,719,0,707,86,0,26,79,296,481,1,616,74,Alto,original
1050,0,0,0,1131,2,7,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1051,0,99,108,452,2,4,1,95,12,124,6,327,0,0,0,0,0,0,0,0,0,0,503,764,0,775,0,0,51,90,294,456,3,589,7,Alto,original
1052,0,91,97,1203,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,37,44,0,45,0,0,0,1,16,161,0,48,731,Baixo,original
1053,0,91,97,427,3,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,138,280,26,274,0,26,1,17,80,981,1,337,514,Alto,original
1054,0,167,88,234,2,5,0,148,0,191,0,327,0,0,0,0,0,0,0,0,0,0,273,316,0,332,0,0,4,15,47,306,1,727,448,Alto,original
1055,0,7,0,1534,1,5,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1056,0,0,1,584,1,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1057,0,91,97,844,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,173,298,0,312,0,0,0,18,82,921,0,254,466,Baixo,original
1058,1,81,54,171,2,5,22,57,0,82,0,79,0,0,0,0,0,0,0,0,0,0,334,545,0,496,72,0,18,13,203,200,1,854,286,Alto,original
1059,0,17,7,1784,2,4,7,10,0,18,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1060,0,0,1,138,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1061,0,91,97,1707,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,298,559,0,572,0,0,10,14,236,196,1,249,211,Alto,original
1062,1,203,117,996,1,3,0,182,0,225,0,257,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,2,1,0,913,774,Baixo,original
1063,1,202,110,644,1,5,0,181,0,224,0,296,1,24,0,31,0,32,0,24,22,23,225,405,0,417,0,0,4,13,126,560,1,242,366,Alto,original
1064,1,43,31,817,2,4,0,40,0,51,0,135,1,177,0,152,0,152,0,177,142,145,480,746,0,752,0,0,31,86,276,773,0,273,28,Alto,original
1065,0,0,0,704,2,6,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1066,0,0,0,648,1,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1067,0,193,97,1101,2,4,0,170,0,212,0,327,1,215,0,198,0,192,0,215,173,179,357,574,0,586,0,0,15,34,185,705,0,730,196,Alto,original
1068,0,0,1,1502,1,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1069,1,237,170,1066,1,4,0,227,0,263,0,107,1,199,0,178,0,172,0,199,163,164,8,9,0,10,0,0,0,1,7,160,0,4,768,Alto,original
1070,0,8,1,669,1,3,0,8,0,16,0,327,1,218,0,200,0,195,0,218,175,181,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1071,1,237,155,1030,1,6,0,227,8,256,8,149,0,0,0,0,0,0,0,0,0,0,375,572,76,556,0,62,16,44,165,587,0,330,247,Médio,original
1072,1,194,106,1507,0,3,0,171,93,94,0,310,0,0,0,0,0,0,0,0,0,0,365,609,44,614,0,0,11,40,213,848,0,157,175,Médio,original
1073,0,0,1,1749,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1074,0,0,1,923,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1075,0,91,97,198,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,442,604,0,618,0,0,30,31,166,412,0,795,162,Médio,original
1076,1,10,3,1290,1,3,1,9,0,17,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1077,0,91,97,224,0,4,0,87,91,0,0,327,0,0,0,0,0,0,0,0,0,0,281,443,12,451,0,0,7,22,91,124,0,932,341,Médio,original
1078,2,10,4,637,0,0,0,10,10,8,0,85,1,157,28,142,0,146,0,157,122,129,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
1079,0,91,97,811,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,75,94,0,98,0,0,0,6,14,938,0,327,681,Baixo,original
1080,0,0,1,1357,1,4,0,0,0,8,0,327,1,45,0,53,0,56,0,45,36,35,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1081,1,10,3,719,2,5,0,10,0,18,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1082,0,91,97,1295,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,161,236,0,243,0,0,2,18,43,896,0,199,531,Médio,original
1083,1,10,3,37,2,2,0,10,0,18,0,165,1,214,0,197,0,191,0,214,174,177,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1084,0,91,97,1600,1,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,77,133,0,140,0,0,0,12,35,865,1,664,641,Alto,original
1085,0,91,97,99,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,345,548,0,559,0,0,20,30,185,479,1,922,224,Alto,original
1086,0,91,97,783,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,169,289,0,301,0,0,10,8,78,796,0,443,475,Médio,original
1087,0,0,1,1304,1,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1088,1,10,3,492,1,5,0,10,0,18,0,75,1,50,0,59,0,61,0,50,39,39,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1089,1,313,224,547,1,5,89,180,0,223,0,250,1,84,0,36,48,36,0,84,65,68,337,487,0,454,65,0,11,24,123,717,1,963,333,Alto,original
1090,0,186,97,1543,1,3,0,163,0,205,0,327,0,0,0,0,0,0,0,0,0,0,90,91,0,95,0,0,4,3,15,429,0,97,684,Médio,original
1091,0,50,51,847,1,5,0,47,0,66,0,327,0,0,0,0,0,0,0,0,0,0,311,471,0,478,0,0,7,25,142,214,0,677,307,Médio,original
1092,1,3,4,1312,2,3,0,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1093,0,0,1,716,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1094,0,0,0,800,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1095,0,0,1,501,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1096,0,8,1,634,3,6,2,6,0,14,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1097,0,0,1,174,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1098,0,91,97,1777,1,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,134,188,0,194,0,0,5,6,37,813,0,60,588,Médio,original
1099,1,96,103,1733,3,6,0,92,2,130,2,213,0,0,0,0,0,0,0,0,0,0,216,301,18,305,0,18,2,12,46,201,0,380,483,Médio,original
1100,2,312,228,1694,2,4,68,213,0,252,0,160,1,66,0,24,34,25,0,66,51,51,73,103,0,92,8,0,1,1,25,22,0,69,687,Alto,original
1101,2,157,89,889,1,5,0,145,2,183,2,46,0,0,0,0,0,0,0,0,0,0,26,31,0,33,0,0,0,2,6,991,0,953,744,Médio,original
1102,1,308,229,204,2,3,55,241,0,274,0,101,1,68,0,56,20,58,0,68,53,52,451,626,0,601,64,0,25,28,138,405,2,667,182,Alto,original
1103,0,7,1,1667,2,4,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1104,0,0,1,999,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1105,0,0,1,1393,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1106,0,91,97,1202,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,99,116,0,121,0,0,4,7,18,795,0,994,660,Médio,original
1107,0,7,1,1705,1,1,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1108,0,117,134,738,2,3,3,114,34,128,9,327,0,0,0,0,0,0,0,0,0,0,83,104,9,102,0,4,2,3,20,585,0,211,684,Médio,original
1109,0,0,1,1103,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1110,0,173,97,350,1,3,0,150,0,192,0,327,1,121,0,117,0,105,0,121,93,103,96,131,0,137,0,0,4,5,20,709,0,916,643,Alto,original
1111,0,91,97,1601,1,2,0,87,74,65,0,327,0,0,0,0,0,0,0,0,0,0,210,239,3,245,0,0,9,8,37,447,0,673,531,Médio,original
1112,0,0,1,60,2,4,0,0,0,8,0,327,1,5,0,3,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1113,0,0,1,777,1,1,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1114,0,91,97,275,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,353,622,0,635,0,0,25,52,228,923,0,564,147,Médio,original
1115,1,264,183,1330,1,3,0,254,0,288,0,68,1,202,0,184,0,177,0,202,166,166,175,266,0,274,0,0,2,16,55,840,0,66,499,Alto,original
1116,0,66,74,1121,2,5,0,64,0,89,0,327,0,0,0,0,0,0,0,0,0,0,89,123,0,128,0,0,2,4,23,960,0,16,653,Médio,original
1117,0,0,1,1616,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1118,0,91,97,1646,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,248,465,0,473,0,0,13,15,166,441,0,376,312,Médio,original
1119,0,17,5,1118,2,6,6,11,0,19,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1120,0,0,1,1787,1,1,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1121,0,0,0,364,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1122,0,90,97,946,3,4,0,86,0,123,0,327,0,0,0,0,0,0,0,0,0,0,250,340,0,356,0,0,6,13,57,766,0,463,425,Médio,original
1123,1,12,5,211,2,2,0,12,2,18,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1124,0,91,97,355,2,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,77,79,0,83,0,0,2,4,14,356,0,158,695,Médio,original
1125,0,91,97,1738,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,226,283,0,294,0,0,6,4,52,243,0,923,481,Médio,original
1126,12,303,219,1279,2,6,56,214,45,219,7,313,0,0,0,0,0,0,0,0,0,0,476,685,71,621,88,57,24,50,218,166,0,368,183,Médio,original
1127,1,1,2,1355,1,1,0,1,0,9,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1128,0,0,1,1089,1,1,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1129,1,291,207,570,2,2,28,225,0,261,0,136,1,161,0,122,42,112,0,161,126,132,216,392,0,302,66,0,10,13,117,655,2,781,474,Alto,original
1130,0,0,1,1040,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1131,35,32,27,1781,2,5,0,29,38,26,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1132,0,192,97,1008,1,5,0,169,0,211,0,327,0,0,0,0,0,0,0,0,0,0,84,108,0,114,0,0,0,5,12,966,0,21,667,Baixo,original
1133,0,0,0,212,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1134,1,13,5,1433,2,6,0,13,0,21,0,24,1,228,71,163,0,209,56,228,185,186,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
1135,0,7,0,885,1,4,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1136,0,0,0,457,2,4,0,0,0,8,0,327,1,49,0,58,0,60,0,49,36,40,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
1137,0,0,1,692,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1138,0,91,97,1472,2,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,508,772,96,778,0,77,46,102,313,317,1,345,5,Alto,original
1139,0,29,29,175,1,4,0,26,0,36,0,327,0,0,0,0,0,0,0,0,0,0,172,324,0,339,0,0,5,11,87,584,0,433,440,Médio,original
1140,0,184,97,1077,1,3,0,161,0,203,0,327,0,0,0,0,0,0,0,0,0,0,44,70,0,75,0,0,1,4,36,483,0,423,705,Médio,original
1141,0,91,97,1129,1,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,77,101,0,106,0,0,2,5,15,986,0,850,675,Médio,original
1142,0,0,0,1418,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1143,0,0,0,1652,2,6,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1144,1,140,177,1310,2,6,22,98,0,137,0,289,0,0,0,0,0,0,0,0,0,0,70,108,10,79,15,10,5,2,21,92,0,284,708,Médio,original
1145,0,178,97,1681,2,4,0,155,0,197,0,327,0,0,0,0,0,0,0,0,0,0,289,578,0,589,0,0,10,8,231,204,0,146,193,Médio,original
1146,0,0,1,141,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1147,1,2,2,162,2,6,0,2,0,10,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
1148,0,91,97,1192,3,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,446,614,0,628,0,0,24,25,130,420,3,506,153,Alto,original
1149,4,13,4,96,2,5,0,13,0,21,0,39,1,120,0,116,0,104,0,120,93,102,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
1150,2,10,4,522,1,4,0,10,0,18,0,85,1,201,0,181,0,175,0,201,164,165,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
1151,0,91,97,1606,2,2,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,348,510,0,518,0,0,11,24,124,404,1,374,263,Alto,original
