user,computadores_distintos,total_logons,total_logoffs,computador_mais_usado,hora_logon_mais_comum,hora_logoff_mais_comum,logons_fim_de_semana,logons_dias_uteis,logons_fora_horario_comercial,logons_em_horario_comercial,logons_janela_acesso,proporcao_pc_mais_usado,pcs_distintos_dispositivo,total_atividades_dispositivo,connect_fora_horario_comercial,connect_em_horario_comercial,connect_fim_de_semana,connect_dias_uteis,connect_janela_acesso,total_connect_dispositivo,total_disconnect_dispositivo,conexoes_sem_desconexao,sites_distintos_visitados,total_acessos_http,acessos_fora_horario_comercial,acessos_em_horario_comercial,acessos_fim_de_semana,acessos_janela_acesso,visita_sites_compras,visita_sites_noticias,visita_sites_entretenimento,tamanho_medio_urls,termos_sensiveis_detectados,tamanho_medio_conteudo,diferenca_acessos_fora_dentro,classe,risco,sintetico
851,0,91,97,717,2,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,151,238,0,246,0,0,5,6,76,618,0,834,529,0,Baixo,0
852,0,12,4,1320,3,6,2,10,2,16,0,327,0,62,17,55,9,68,6,62,47,48,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
853,29,269,191,1233,1,3,0,257,0,292,0,52,0,126,0,122,0,111,0,126,96,104,71,73,0,78,0,0,1,5,10,619,0,121,701,1,Alto,0
854,0,0,0,151,1,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
855,0,91,97,435,1,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,124,185,0,191,0,0,2,6,38,919,0,34,590,0,Baixo,0
856,0,91,97,1256,1,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,355,609,0,623,0,0,22,18,201,146,0,503,158,0,Baixo,0
857,2,10,2,1005,2,4,0,10,0,18,0,159,0,97,0,84,0,81,0,97,77,81,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
858,2,22,11,1480,0,5,8,17,14,11,1,90,0,75,8,18,47,20,1,75,58,61,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
859,2,231,154,1768,1,5,1,218,44,225,11,272,0,8,6,6,2,8,0,8,8,8,117,165,52,135,0,13,5,2,33,129,0,981,688,1,Alto,0
860,0,186,97,356,1,3,0,163,0,205,0,327,1,351,99,312,116,305,64,351,290,302,103,127,0,132,0,0,2,2,26,287,0,294,648,0,Baixo,0
861,1,1,2,1169,3,4,0,1,0,9,0,190,0,130,0,125,0,115,0,130,99,106,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
862,0,91,97,610,2,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,195,260,0,270,0,0,11,9,50,306,0,891,504,0,Baixo,0
863,0,187,97,116,1,5,0,164,0,206,0,327,1,351,99,312,116,305,64,351,290,302,136,283,0,294,0,0,3,18,79,968,0,453,480,0,Baixo,0
864,0,91,97,1687,1,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,50,51,0,54,0,0,2,5,13,843,0,970,723,0,Baixo,0
865,0,0,1,580,1,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
866,0,91,97,1718,3,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,39,40,0,42,0,0,2,2,10,438,1,976,733,0,Médio,0
867,1,203,115,950,1,5,0,182,0,225,0,270,0,99,0,86,0,83,0,99,78,83,283,347,0,365,0,0,11,16,56,237,0,662,416,1,Alto,0
868,0,0,1,602,2,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
869,0,0,1,961,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
870,0,91,97,1590,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,451,673,0,684,0,0,23,47,226,328,0,123,98,0,Baixo,0
871,0,91,97,981,0,3,0,87,91,0,0,327,0,17,7,21,0,23,0,17,15,20,418,575,34,578,0,0,22,24,144,51,0,212,215,1,Alto,0
872,0,0,0,901,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
873,0,195,97,765,2,4,0,172,0,214,0,327,1,351,99,312,116,305,64,351,290,302,349,505,0,513,0,0,27,19,154,235,1,567,270,0,Médio,0
874,0,0,1,1723,2,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
875,1,1,1,27,2,7,0,1,0,9,0,185,0,283,98,240,0,256,63,283,232,241,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
876,2,9,3,1257,2,4,0,9,0,17,0,159,0,107,0,99,0,91,0,107,86,88,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
877,1,285,222,776,1,2,3,272,37,291,16,91,0,253,58,217,6,218,19,253,204,211,64,72,0,77,0,0,0,7,17,825,0,62,702,1,Alto,0
878,0,1,2,1546,0,3,0,1,11,0,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
879,0,0,1,0,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
880,2,279,215,656,2,6,65,149,32,188,5,74,1,351,99,312,116,305,64,351,290,302,120,156,1,111,30,1,5,4,27,139,0,862,670,1,Alto,0
881,1,194,109,1087,2,3,0,171,0,213,0,299,1,351,99,312,116,305,64,351,290,302,433,728,0,735,0,0,46,83,289,707,0,508,47,0,Baixo,0
882,0,91,97,1727,2,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,359,533,0,542,0,0,28,30,153,198,1,717,236,0,Médio,0
883,1,236,158,1343,1,3,0,226,0,262,0,137,0,205,0,187,0,181,0,205,165,170,265,425,0,439,0,0,2,22,148,599,1,288,347,1,Alto,0
884,0,91,97,1100,2,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,383,569,0,581,0,0,12,32,166,352,0,801,200,0,Baixo,0
885,0,91,97,1219,1,2,0,87,71,70,0,327,1,351,99,312,116,305,64,351,290,302,457,674,6,685,0,0,15,45,210,703,0,553,97,0,Médio,0
886,0,88,95,209,3,6,0,84,0,119,0,327,1,351,99,312,116,305,64,351,290,302,62,60,2,61,0,2,0,2,13,913,0,518,717,0,Baixo,0
887,1,37,22,1265,1,5,13,24,3,34,0,42,1,351,99,312,116,305,64,351,290,302,402,709,0,688,90,0,17,77,290,836,0,150,92,1,Alto,0
888,1,1,2,420,2,4,0,1,0,9,0,190,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
889,0,0,0,181,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
890,0,10,2,456,1,4,0,10,2,16,0,327,0,40,12,41,0,51,3,40,34,31,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
891,1,10,4,1053,1,4,0,10,0,18,0,85,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
892,0,10,1,1613,2,3,0,10,0,18,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
893,0,91,97,1492,1,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,52,44,0,46,0,0,2,1,9,25,0,46,730,0,Baixo,0
894,0,0,0,1635,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
895,1,69,51,612,3,3,1,66,15,91,6,98,1,351,99,312,116,305,64,351,290,302,32,42,22,33,0,0,0,2,20,659,0,2,755,0,Baixo,0
896,0,91,97,1181,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,505,762,0,773,0,0,40,85,297,385,2,618,8,0,Médio,0
897,0,91,97,20,1,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,111,140,0,145,0,0,4,2,23,531,0,943,635,0,Baixo,0
898,0,91,97,921,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,97,119,0,124,0,0,4,3,34,45,0,727,656,0,Baixo,0
899,0,91,97,134,3,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,187,340,0,356,0,0,5,17,76,717,0,178,424,0,Baixo,0
900,1,10,2,517,0,3,0,10,10,8,0,214,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Médio,0
901,0,0,1,58,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
902,0,91,97,1386,1,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,237,420,0,434,0,0,4,13,122,494,0,143,351,0,Baixo,0
903,0,91,97,921,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,330,522,0,529,0,0,6,38,128,844,0,371,251,0,Baixo,0
904,1,11,5,1289,2,4,0,11,0,19,0,37,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
905,0,91,97,496,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,107,196,0,203,0,0,1,10,62,933,1,633,575,0,Médio,0
906,0,0,0,1566,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
907,0,0,1,575,1,2,0,0,0,8,0,327,0,215,0,199,0,192,0,215,172,180,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
908,0,90,97,883,1,4,0,86,0,123,0,327,1,351,99,312,116,305,64,351,290,302,361,546,0,557,0,0,24,37,169,530,0,592,225,0,Baixo,0
909,0,91,97,1013,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,153,220,0,229,0,0,4,4,39,932,0,61,547,0,Baixo,0
910,0,0,1,668,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
911,0,0,1,1567,1,1,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
912,0,8,0,606,1,5,0,8,0,16,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
913,0,8,1,745,2,3,0,8,0,16,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
914,0,0,0,806,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
915,0,0,1,35,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
916,2,249,174,247,2,4,0,241,3,272,3,100,0,224,0,209,0,204,0,224,181,182,122,181,0,184,0,0,4,3,48,842,0,944,597,1,Alto,0
917,0,71,49,1339,3,4,0,68,0,98,0,327,1,351,99,312,116,305,64,351,290,302,93,170,0,175,0,0,0,4,30,978,0,112,605,0,Baixo,0
918,0,8,1,404,2,4,0,8,0,16,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
919,1,248,168,96,2,2,4,236,52,234,14,308,0,185,61,156,5,156,16,185,149,153,262,510,70,494,0,12,11,37,155,885,0,338,305,1,Alto,0
920,0,189,97,1332,1,2,0,166,0,208,0,327,1,351,99,312,116,305,64,351,290,302,257,501,0,510,0,0,16,21,198,746,0,195,273,0,Baixo,0
921,0,0,0,344,3,7,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
922,0,181,97,970,2,5,0,158,0,200,0,327,0,35,3,45,0,46,3,35,32,28,123,205,2,213,0,2,1,4,89,389,0,144,566,1,Alto,0
923,0,91,97,1796,2,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,22,34,0,36,0,0,1,1,13,930,0,9,740,0,Baixo,0
924,0,91,97,1192,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,200,348,0,366,0,0,11,8,101,209,0,635,415,0,Baixo,0
925,1,2,2,1477,1,5,0,2,0,10,0,94,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
926,0,0,0,1369,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
927,0,91,97,1021,2,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,194,276,0,284,0,0,0,10,39,706,1,397,489,0,Médio,0
928,0,0,1,1779,1,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
929,0,91,97,236,1,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,191,220,0,229,0,0,1,11,41,210,0,134,547,0,Baixo,0
930,0,7,0,907,1,5,0,7,0,15,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
931,0,91,97,724,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,287,592,0,605,0,0,13,18,236,439,1,722,177,0,Médio,0
932,0,0,0,1159,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
933,0,0,0,856,1,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
934,1,148,187,676,1,5,32,90,0,130,0,321,1,351,99,312,116,305,64,351,290,302,439,770,0,752,97,0,53,107,321,872,2,815,27,1,Alto,0
935,0,61,63,751,2,3,0,58,0,83,0,327,1,351,99,312,116,305,64,351,290,302,280,397,0,410,0,0,7,13,73,318,0,165,371,0,Baixo,0
936,0,91,97,1013,1,2,0,87,67,77,0,327,1,351,99,312,116,305,64,351,290,302,134,184,0,187,0,0,2,7,34,894,0,13,594,0,Médio,0
937,1,15,7,267,2,3,3,12,0,20,0,31,0,161,0,129,39,119,0,161,129,132,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
938,0,0,0,1226,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
939,0,16,4,1078,2,5,4,12,0,20,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
940,0,189,97,1059,3,6,0,166,0,208,0,327,1,351,99,312,116,305,64,351,290,302,220,252,13,254,0,13,6,5,39,286,0,617,527,0,Baixo,0
941,0,185,97,1763,1,3,0,162,0,204,0,327,1,351,99,312,116,305,64,351,290,302,79,72,0,77,0,0,1,4,12,92,0,299,702,0,Baixo,0
942,0,0,1,417,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
943,0,8,1,388,2,4,0,8,0,16,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
944,0,7,0,674,2,7,0,7,0,15,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
945,0,0,0,983,2,7,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
946,0,91,97,118,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,413,557,0,570,0,0,23,21,141,374,0,814,212,0,Baixo,0
947,0,91,97,944,2,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,152,208,0,217,0,0,7,3,52,66,0,956,560,0,Baixo,0
948,1,10,4,796,2,4,0,10,0,18,0,85,0,208,0,190,0,184,0,208,169,171,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
949,0,91,97,499,1,6,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,154,410,35,411,0,35,4,15,187,887,1,579,384,0,Médio,0
950,1,253,178,273,2,6,3,243,57,235,22,205,0,132,44,89,5,114,31,132,100,108,314,639,97,606,0,60,6,55,228,910,1,277,242,1,Alto,0
951,1,38,21,1216,2,4,0,35,7,41,3,195,1,351,99,312,116,305,64,351,290,302,208,436,55,426,0,15,7,22,168,458,0,84,378,0,Baixo,0
952,0,0,1,858,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
953,0,0,1,827,1,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
954,0,0,1,1162,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
955,0,91,97,1774,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,257,444,0,454,0,0,8,15,152,545,0,548,332,0,Baixo,0
956,0,0,1,664,1,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
957,0,0,0,472,2,6,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
958,1,304,221,372,1,2,62,210,82,185,0,180,0,168,6,114,64,106,0,168,135,138,185,201,6,190,19,0,6,5,37,600,2,43,595,1,Alto,0
959,0,91,97,1223,2,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,184,342,0,358,0,0,6,19,105,739,0,301,422,0,Baixo,0
960,0,91,97,1083,1,2,0,87,69,74,0,327,1,351,99,312,116,305,64,351,290,302,191,275,3,281,0,0,3,12,45,689,0,300,493,0,Médio,0
961,1,289,180,292,1,3,48,187,0,230,0,275,1,351,99,312,116,305,64,351,290,302,324,443,0,419,39,0,17,10,118,251,0,664,364,1,Alto,0
962,0,129,148,860,2,6,3,126,55,126,12,327,0,138,42,103,0,125,26,138,107,111,508,772,99,778,0,80,47,93,309,457,1,454,4,1,Alto,0
963,0,0,1,1476,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
964,0,8,1,59,1,3,0,8,0,16,0,327,0,100,0,89,0,84,0,100,79,84,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
965,0,91,97,500,2,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,395,711,0,722,0,0,27,61,255,817,0,483,60,0,Baixo,0
966,0,91,97,1115,2,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,84,85,0,89,0,0,3,1,20,624,0,487,689,0,Baixo,0
967,0,0,1,150,1,1,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
968,0,91,97,426,1,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,114,190,0,197,0,0,2,12,42,787,0,267,584,0,Baixo,0
969,0,90,97,1151,1,2,0,86,0,123,0,327,1,351,99,312,116,305,64,351,290,302,327,502,0,511,0,0,19,14,149,74,0,811,272,0,Baixo,0
970,0,91,97,107,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,166,237,0,243,0,0,11,2,42,194,0,965,530,0,Baixo,0
971,0,7,1,726,2,3,0,7,0,15,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
972,0,0,0,1315,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
973,0,91,97,1331,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,235,332,0,347,0,0,5,15,55,749,0,57,431,0,Baixo,0
974,1,16,7,1572,3,7,0,16,3,21,0,69,0,113,59,78,2,95,39,113,89,94,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
975,0,155,202,334,1,5,43,87,0,124,0,327,0,339,0,258,114,252,0,339,278,290,343,528,0,478,73,0,13,25,122,544,0,131,306,1,Alto,0
976,0,7,0,1445,1,5,0,7,0,15,0,327,0,40,7,43,3,48,2,40,35,30,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
977,0,0,1,323,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
978,0,0,1,554,1,1,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
979,0,0,1,971,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
980,0,0,0,387,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
981,0,2,3,1475,1,3,0,2,2,8,0,327,0,310,81,271,17,278,26,310,252,267,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
982,0,6,1,1122,2,2,0,6,0,14,0,327,0,33,0,43,0,42,0,33,27,28,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
983,0,78,86,62,2,3,0,75,0,109,0,327,1,351,99,312,116,305,64,351,290,302,177,301,0,315,0,0,3,14,65,909,0,162,462,0,Baixo,0
984,0,91,97,300,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,90,155,0,158,0,0,3,5,43,312,0,21,621,0,Baixo,0
985,0,91,97,951,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,144,192,0,199,0,0,2,12,28,946,0,760,580,0,Baixo,0
986,1,227,149,740,1,3,4,211,37,225,8,311,0,39,12,40,0,50,1,39,33,31,187,236,45,220,0,4,11,10,45,42,0,747,581,1,Alto,0
987,1,12,5,2,1,4,0,12,0,20,0,39,0,38,0,50,0,49,0,38,28,35,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
988,0,7,1,1532,1,4,0,7,0,15,0,327,0,120,0,117,0,104,0,120,92,102,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
989,0,90,97,1309,2,5,0,86,0,123,0,327,1,351,99,312,116,305,64,351,290,302,92,122,0,127,0,0,1,8,21,811,0,18,653,0,Baixo,0
990,0,80,88,667,1,5,0,77,0,111,0,327,1,351,99,312,116,305,64,351,290,302,467,700,0,713,0,0,22,63,266,643,0,193,67,0,Baixo,0
991,0,91,97,339,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,203,413,0,428,0,0,4,19,153,893,0,53,357,0,Baixo,0
992,0,0,1,939,0,2,0,0,10,0,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
993,0,91,97,18,3,6,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,105,133,11,130,0,11,4,3,23,576,0,845,657,0,Baixo,0
994,0,0,1,986,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
995,0,196,97,351,1,5,0,173,0,215,0,327,1,351,99,312,116,305,64,351,290,302,119,158,0,163,0,0,2,2,34,194,0,907,616,0,Baixo,0
996,0,0,0,362,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
997,0,186,97,61,2,4,0,163,0,205,0,327,1,351,99,312,116,305,64,351,290,302,240,506,0,514,0,0,11,4,200,252,0,113,269,0,Baixo,0
998,0,0,1,593,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
999,0,91,97,249,3,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,104,100,0,105,0,0,6,1,13,57,0,81,675,0,Baixo,0
1000,0,91,97,112,2,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,82,103,0,109,0,0,1,6,19,110,0,763,671,0,Baixo,0
1001,1,247,169,1413,1,2,2,237,15,259,6,168,0,134,13,119,2,118,5,134,106,105,60,56,0,58,0,0,3,2,10,802,0,161,718,1,Alto,0
1002,0,8,1,295,2,4,0,8,0,16,0,327,0,189,0,173,0,161,0,189,153,157,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
1003,1,1,2,458,1,3,0,1,0,9,0,190,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
1004,0,91,97,1037,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,364,556,0,569,0,0,22,10,164,78,0,360,213,0,Baixo,0
1005,1,230,149,1363,1,2,0,218,0,255,0,163,0,27,0,36,0,35,0,27,24,24,82,151,0,155,0,0,2,6,46,405,0,820,624,1,Alto,0
1006,0,0,1,1551,0,2,0,0,10,0,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
1007,1,278,200,248,1,2,1,269,17,294,11,80,0,96,14,76,2,80,3,96,75,80,157,213,0,223,0,0,3,9,39,744,0,842,554,1,Alto,0
1008,0,0,1,1744,2,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
1009,0,125,64,732,1,4,0,124,0,161,0,327,0,6,0,5,0,6,0,6,6,6,187,410,0,423,0,0,5,17,170,587,0,86,361,1,Alto,0
1010,0,0,0,1709,2,7,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
1011,0,181,97,1345,2,5,0,158,0,200,0,327,1,351,99,312,116,305,64,351,290,302,38,80,0,84,0,0,0,1,30,36,0,228,693,0,Baixo,0
1012,0,0,0,1235,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
1013,0,91,97,758,3,6,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,163,230,10,236,0,10,4,13,43,454,0,115,545,0,Baixo,0
1014,1,101,60,855,2,4,0,98,0,137,0,148,0,85,0,72,0,77,0,85,66,70,327,500,0,509,0,0,14,9,127,156,1,352,274,1,Alto,0
1015,2,269,194,853,1,3,0,257,0,292,0,44,0,49,0,59,0,60,0,49,40,36,147,211,0,221,0,0,0,9,29,793,0,173,557,1,Alto,0
1016,0,91,97,1388,2,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,214,396,0,409,0,0,14,5,127,521,0,337,372,0,Baixo,0
1017,0,0,1,375,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
